,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
414,03-Aug-09,Yes,USA,AGWT,CY142013,CY142012,CY142011,CY142006,CY142009,CY142008,CY142007,CY142010,Alaska,A/American green-winged teal/Interior Alaska/9BM6222R0/2009,H10N7
415,03-Aug-09,Yes,USA,AGWT,CY142433,CY142432,CY142431,CY142426,CY142429,CY142428,CY142427,CY142430,Alaska,A/American green-winged teal/Interior Alaska/9BM6223R0/2009,H10N7
416,03-Aug-09,Yes,USA,AGWT,CY142441,CY142440,CY142439,CY142434,CY142437,CY142436,CY142435,CY142438,Alaska,A/American green-winged teal/Interior Alaska/9BM6225R0/2009,H10N7
422,03-Aug-09,Yes,USA,AGWT,CY142032,CY142031,CY142030,CY142025,CY142028,CY142027,CY142026,CY142029,Alaska,A/American green-winged teal/Interior Alaska/9BM6428R0/2009,H10N7
425,04-Aug-09,Yes,USA,AGWT,CY142048,CY142047,CY142046,CY142041,CY142044,CY142043,CY142042,CY142045,Alaska,A/American green-winged teal/Interior Alaska/9BM6702R0/2009,H10N7
440,06-Aug-09,Yes,USA,AGWT,CY142072,CY142071,CY142070,CY142065,CY142068,CY142067,CY142066,CY142069,Alaska,A/American green-winged teal/Interior Alaska/9BM7190R0/2009,H10N7
2446,09-Nov,Yes,USA,IRD:null,CY092750,CY092751,CY092752,CY092753,CY092754,CY092755,CY092756,CY092757,California,A/cheetah/California/D0912239/2009,H1N1
2503,10-Sep,Yes,Guatemala,IRD:Bat,CY103889,CY103890,CY103891,CY103892,CY103893,CY103894,CY103895,CY103896,-N/A-,A/little yellow-shouldered bat/Guatemala/060/2010,H17N10
2504,09-May,Yes,Guatemala,IRD:Bat,CY103873,CY103874,CY103875,CY103876,CY103877,CY103878,CY103879,CY103880,-N/A-,A/little yellow-shouldered bat/Guatemala/153/2009,H17N10
2505,09-May,Yes,Guatemala,IRD:Bat,CY103881,CY103882,CY103883,CY103884,CY103885,CY103886,CY103887,CY103888,-N/A-,A/little yellow-shouldered bat/Guatemala/164/2009,H17N10
